Site,date,time,variable,measurement
HRP,10/3/2020,1:48:00 AM,Temp_C,13.87
HRP,10/3/2020,5:58:00 AM,Temp_C,12.78
HRP,10/3/2020,9:50:00 AM,Temp_C,13.58
HRP,10/3/2020,1:55:00 PM,Temp_C,17.47
HRP,10/3/2020,6:09:00 PM,Temp_C,16.91
HRP,10/3/2020,10:00:00 PM,Temp_C,14.42
HRP,10/4/2020,1:51:00 AM,Temp_C,15.16
HRP,10/4/2020,5:52:00 AM,Temp_C,14.55
HRP,10/4/2020,9:58:00 AM,Temp_C,15.76
HRP,10/4/2020,1:58:00 PM,Temp_C,18.65
HRP,10/2/2020,5:50:00 PM,SpC,197.4
HRP,10/2/2020,9:46:00 PM,SpC,190.7
HRP,10/3/2020,1:48:00 AM,SpC,
HRP,10/3/2020,5:58:00 AM,SpC,202
HRP,10/3/2020,9:50:00 AM,SpC,202.2
HRP,10/3/2020,1:55:00 PM,SpC,203.5
HRP,10/3/2020,6:09:00 PM,SpC,199.6
HRP,10/3/2020,10:00:00 PM,SpC,204.2
HRP,10/4/2020,1:51:00 AM,SpC,202
HRP,10/4/2020,5:52:00 AM,SpC,202.9
HRP,10/4/2020,9:58:00 AM,SpC,201.3
HRP,10/4/2020,1:58:00 PM,SpC,202.6
HRP,10/2/2020,5:50:00 PM,pH,7.3
HRP,10/2/2020,9:46:00 PM,pH,7.39
HRP,10/3/2020,1:48:00 AM,pH,7.28
HRP,10/3/2020,5:58:00 AM,pH,7.21
HRP,10/3/2020,9:50:00 AM,pH,7.4
HRP,10/3/2020,1:55:00 PM,pH,7.6
HRP,10/3/2020,6:09:00 PM,pH,7.42
HRP,10/3/2020,10:00:00 PM,pH,7.3
HRP,10/4/2020,1:51:00 AM,pH,7.26
HRP,10/4/2020,5:52:00 AM,pH,7.32
HRP,10/4/2020,9:58:00 AM,pH,7.4
HRP,10/4/2020,1:58:00 PM,pH,7.66
